Name,Address,City,Long,Lat,FACILITY_T,SHELTER_TY,Year_Built,Building,Risk_Capac,Risk_Squar
Molino Park ES,899 Hwy 97,Molino,-87.36242902,30.74042898,SHELTER,RISK,2002,4 Classroom,367,7331
Lipscomb ES,10200 Ashton Brosnaham Dr,Pensacola,-87.26888103,30.55537399,SHELTER,RISK,1991,400 wing Classroom,200,3990
West Pensacola ES,801 North 49th Ave,Pensacola,-87.28283598,30.42120202,SHELTER,RISK,2000,3 Classroom,227,4546
Brentwood ES,4820 N Palafox St,Pensacola,-87.23997603,30.46247602,SHELTER,RISK,2000,5 Classroom,427,8532
Bellview ES,4425 Bellview Ave,Pensacola,-87.30600599,30.46807299,SHELTER,RISK,2000,5 Classroom,309,5420
Beulah ES,6201 Helms Rd,Pensacola,-87.35758696,30.50502202,SHELTER,RISK,1980,Main,1439,28773
Blue Angel ES,1551 Dog Track Rd,Pensacola,-87.35876202,30.38642299,SHELTER,RISK,1999,400 wing Classroom,419,7701
University of West Florida,11000 University Pkwy,Pensacola,-87.22140702,30.54545502,SHELTER,RISK,1967,13 Environmental Studies,389,5364
Ferry Pass MS,8355 Yancey Ave,Pensacola,-87.19762102,30.51376698,SHELTER,RISK,2010,8 Gym,617,12344
Pensacola HS,500 W Maxwell St,Pensacola,-87.22536998,30.43587002,SHELTER,RISK,2006,5 Gym,746,15179
Lipscomb ES,10200 Ashton Brosnaham Dr,Pensacola,-87.26888103,30.55537399,SHELTER,RISK,1991,100 South wing Art / Admin,105,2102
Lipscomb ES,10200 Ashton Brosnaham Dr,Pensacola,-87.26888103,30.55537399,SHELTER,RISK,1991,200 wing Classroom,252,5049
Blue Angel ES,1551 Dog Track Rd,Pensacola,-87.35876202,30.38642299,SHELTER,RISK,1999,500 wing Classroom,463,7842
Molino Park ES,899 Hwy 97,Molino,-87.36242902,30.74042898,SHELTER,RISK,2002,2 Art / Classroom,315,6295
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,5 Music,662,13234
University of West Florida,11000 University Pkwy,Pensacola,-87.22140702,30.54545502,SHELTER,RISK,2004,"72 Health, Leisure, Sport Facility",2369,47380
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,7 Classroom 1st Floor,486,9726
Jim Allen ES,1051 Hwy 95A N,Cantonment,-87.3222458,30.62528131,SHELTER,RISK,2001,6 Classroom,293,5077
Escambia Wesgate Center,10050 Ashton Brosnaham Rd,Pensacola,-87.26940297,30.54973901,SHELTER,RISK,2000,6 ESE,400,8008
Navy Point ES,1321 Patton Dr,Pensacola,-87.29001298,30.388869,SHELTER,RISK,1953,5,148,2950
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,2 Media,99,1989
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,9 Gym,806,16115
Molino Park ES,899 Hwy 97,Molino,-87.36242902,30.74042898,SHELTER,RISK,2002,1 Admin / Cafeteria / Media,683,13651
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,6 Classroom,618,12357
Workman MS,6299 Lanier Dr,Pensacola,-87.20733003,30.48657001,SHELTER,RISK,1996,7 Classroom,286,7150
Sherwood ES,501 Cherokee Tr,Pensacola,-87.29048999,30.43563,SHELTER,RISK,2001,10 Classroom,212,3643
Global Learning Academy,100 North P St,Pensacola,-87.24270964,30.41404429,SHELTER,RISK,2010,1 Main,2559,51189
Tate HS,1771 Tate Rd,Cantonment,-87.2989943,30.57673546,SHELTER,RISK,1993,38 Gym,1300,26000
Lipscomb ES,10200 Ashton Brosnaham Dr,Pensacola,-87.26888103,30.55537399,SHELTER,RISK,1991,600 wing Classroom,330,6598
Blue Angel ES,1551 Dog Track Rd,Pensacola,-87.35876202,30.38642299,SHELTER,RISK,1999,200 wing Cafeteria / Music,200,5005
Molino Park ES,899 Hwy 97,Molino,-87.36242902,30.74042898,SHELTER,RISK,2002,5 Classroom,229,4589
Lipscomb ES,10200 Ashton Brosnaham Dr,Pensacola,-87.26888103,30.55537399,SHELTER,RISK,1991,100 North wing Cafeteria / Music,252,5041
Tate HS,1771 Tate Rd,Cantonment,-87.2989943,30.57673546,SHELTER,RISK,1999,39 Cafeteria,514,8200
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,8 Classroom 2nd Floor,461,9227
Lipscomb ES,10200 Ashton Brosnaham Dr,Pensacola,-87.26888103,30.55537399,SHELTER,RISK,1991,500 wing Classroom,300,5990
Cordova Park ES,2250 Semur Rd,Pensacola,-87.19335002,30.46244002,SHELTER,RISK,2008,7 Classroom,227,4536
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,1 Admin,124,2480
Pensacola Bay Center,201 E Gregory St,Pensacola,-87.20846,30.41637002,SHELTER,RISK,1985,Corridors 1st and 2nd Floor,2000,39995
Beulah ES,6201 Helms Rd,Pensacola,-87.35758696,30.50502202,SHELTER,RISK,2000,1 Classroom Addition (2000),185,3693
Lipscomb ES,10200 Ashton Brosnaham Dr,Pensacola,-87.26888103,30.55537399,SHELTER,RISK,1991,300 wing Classroom,204,4085
Warrington MS,450 South Old Corry Field Rd,Pensacola,-87.27410129,30.40365616,SHELTER,RISK,2009,8 Gym,569,11386
Blue Angel ES,1551 Dog Track Rd,Pensacola,-87.35876202,30.38642299,SHELTER,RISK,1999,600 wing Classroom,406,8653
Molino Park ES,899 Hwy 97,Molino,-87.36242902,30.74042898,SHELTER,RISK,2002,3 Classroom,357,7137
Ferry Pass MS,8355 Yancey Ave,Pensacola,-87.19762102,30.51376698,SHELTER,RISK,1997,4 Classroom,311,6211
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,4 Cafeteria,169,3376
Ferry Pass ES,8310 N Davis Hwy,Pensacola,-87.21650897,30.51413599,SHELTER,RISK,2001,5 Classroom,293,5717
Longleaf ES,2600 Longleaf Dr,Pensacola,-87.29937104,30.48861201,SHELTER,RISK,2000,2 Classroom,392,7840
Northview HS,4100 W Highway 4,Century,-87.40715997,30.96698998,SHELTER,RISK,1993,1 Main,1489,29772
Bailey MS,4001 Bauer Rd,Pensacola,-87.40308907,30.34669463,SHELTER,RISK,1993,3 Art,27,546
Blue Angel ES,1551 Dog Track Rd,Pensacola,-87.35876202,30.38642299,SHELTER,RISK,1999,100 wing Admin / Media / Art,274,6851
Blue Angel ES,1551 Dog Track Rd,Pensacola,-87.35876202,30.38642299,SHELTER,RISK,1999,300 wing Classroom,354,6222
Belle Terre ES,5545 Belle Terre Pkwy,Palm Coast,-81.25947999,29.58305001,SHELTER,RISK,2005,5 Cafeteria / Art / Music,369,7376
Matanzas HS,3535 N Old Kings Rd,Palm Coast,-81.23561001,29.60471999,SHELTER,RISK,2004,3 Gym,710,14203
Matanzas HS,3535 N Old Kings Rd,Palm Coast,-81.23561001,29.60471999,SHELTER,RISK,2004,5 Classroom / Media,1059,21186
Bunnel ES,305 N Palmetto St,Bunnell,-81.25540001,29.47276,SHELTER,RISK,2007,12 Multipurpose / Gym,196,3917
Matanzas HS,3535 N Old Kings Rd,Palm Coast,-81.23561001,29.60471999,SHELTER,RISK,2005,6 Classroom,125,2506
Bunnell ES,305 N Palmetto St,Bunnell,-81.25540001,29.47276,SHELTER,RISK,2004,10 Admin / Classroom,998,19956
Rymfire ES,1425 Rymfire Dr,Palm Coast,-81.22087001,29.50527001,SHELTER,RISK,2006,2 Classroom,1562,31240
Flagler Palm Coast HS,5501 FL-100,Palm Coast,-81.20779177,29.47525672,SHELTER,RISK,1990,4 Auditorium,697,13943
Belle Terre ES,5545 Belle Terre Pkwy,Palm Coast,-81.25947999,29.58305001,SHELTER,RISK,2005,4 Classroom,180,3607
Buddy-Worth Campus,4550 Belle Terre Pkwy,Palm Coast,-81.22507001,29.53278,SHELTER,RISK,2007,Wadsworth ES 6 Cafeteria / Classroom,1464,29286
Belle Terre ES,5545 Belle Terre Pkwy,Palm Coast,-81.25947999,29.58305001,SHELTER,RISK,2005,3 Classroom,210,4201
Old Kings ES,301 Old Kings Road S,Flagler Beach,-81.17589004,29.47323999,SHELTER,RISK,2006,5 Classroom,565,11291
Rymfire ES,1428 Rymfire Dr,Palm Coast,-81.22100969,29.50546973,SHELTER,RISK,2006,4 Multipurpose,207,4134
Bunnell ES,305 N Palmetto St,Bunnell,-81.25540001,29.47276,SHELTER,RISK,2006,13 Classroom,1056,21120
Matanzas HS,3535 N Old Kings Rd,Palm Coast,-81.23561001,29.60471999,SHELTER,RISK,2005,4 Cafeteria,243,4853
Bunnell ES,305 N Palmetto St,Bunnell,-81.25540001,29.47276,SHELTER,RISK,2007,11 Cafeteria / Music,541,10823
Matanzas HS,3535 N Old Kings Rd,Palm Coast,-81.23561001,29.60471999,SHELTER,RISK,2009,11 Wrestling,98,1950
Buddy-Worth Campus,4550 Belle Terre Pkwy,Palm Coast,-81.22507001,29.53278,SHELTER,RISK,1994,Wadsworth ES 4 Multipurpose,140,2798
Belle Terre ES,5545 Belle Terre Pkwy,Palm Coast,-81.25947999,29.58305001,SHELTER,RISK,2005,6 Classroom,202,4031
Rymfire ES,1425 Rymfire Dr,Palm Coast,-81.22087001,29.50527001,SHELTER,RISK,2006,5 Classroom,1122,22437
Belle Terre ES,5545 Belle Terre Pkwy,Palm Coast,-81.25947999,29.58305001,SHELTER,RISK,2005,7 Classroom,106,2114
Matanzas HS,3535 N Old Kings Rd,Palm Coast,-81.23561001,29.60471999,SHELTER,RISK,2004,2 Auditorium / Music,437,8731
Bunnell ES,305 N Palmetto St,Bunnell,-81.25540001,29.47276,SHELTER,RISK,2000,9 Classroom,144,2800
West Gadsden MS,200 Providence Rd,Quincy,-84.7322813,30.56734239,SHELTER,RISK,2005,3 Voc Classroom / 4 Classroom,650,13004
Gadsden County HS,27001 Blue Star Memorial Hwy,Havana,-84.4906284,30.55143381,SHELTER,RISK,2001,6 Gym,887,17744
West Gadsden MS,200 Providence Rd,Quincy,-84.7322813,30.56734239,SHELTER,RISK,2005,8 / 9 Classroom,484,9686
Havana Magnet School,1210 Kemp Rd,Havana,-84.39959882,30.62400393,SHELTER,RISK,1980,8F Classroom,51,1019
West Gadsden MS,200 Providence Rd,Quincy,-84.7322813,30.56734239,SHELTER,RISK,2005,5 Gym,525,10491
Gadsden County HS,27001 Blue Star Memorial Hwy,Havana,-84.4906284,30.55143381,SHELTER,RISK,2001,8 Classroom,133,2655
West Gadsden MS,200 Providence Rd,Quincy,-84.7322813,30.56734239,SHELTER,RISK,2005,6 Music,160,3203
Havana Magnet School,1210 Kemp Rd,Havana,-84.39959882,30.62400393,SHELTER,RISK,1992,6D Classroom,397,7935
Havana Magnet School,1210 Kemp Rd,Havana,-84.39959882,30.62400393,SHELTER,RISK,1992,7C Classroom,90,1801
Havana Magnet School,1210 Kemp Rd,Havana,-84.39959882,30.62400393,SHELTER,RISK,1992,12H Cafeteria,219,4374
Gadsden County HS,27001 Blue Star Memorial Hwy,Havana,-84.4906284,30.55143381,SHELTER,RISK,2001,5 Cafeteria,299,5984
West Gadsden MS,200 Providence Rd,Quincy,-84.7322813,30.56734239,SHELTER,RISK,2005,7 Cafeteria,268,5367
Gadsden County HS,27001 Blue Star Memorial Hwy,Havana,-84.4906284,30.55143381,SHELTER,RISK,2001,4 Classroom,1043,20854
Havana Magnet School,1210 Kemp Rd,Havana,-84.39959882,30.62400393,SHELTER,RISK,1992,11J Gym,649,12979
Bell HS,930 S Main St,Bell,-82.85929998,29.75151,SHELTER,RISK,1998,16 Gym / Multipurpose,711,14225
Trenton ES,1350 SW SR26,Trenton,-82.83031569,29.61354752,SHELTER,RISK,2000,2 Cafeteria,262,5240
Trenton HS,1013 N Main St,Trenton,-82.81875001,29.61922001,SHELTER,RISK,2000,34 Gym,624,12484
Bell ES,2771 E Bell Ave,Bell,-82.85503997,29.75072998,SHELTER,RISK,1997,5 Cafeteria,271,5414
Trenton HS,1013 N Main St,Trenton,-82.81875001,29.61922001,SHELTER,RISK,1991,28 Classroom,338,6753
Bell HS,930 S Main St,Bell,-82.85929998,29.75151,SHELTER,RISK,1992,14 Classroom,270,5407
Trenton HS,1013 N Main St,Trenton,-82.81875001,29.61922001,SHELTER,RISK,1991,30 Multiprpose,156,3127
Trenton HS,1013 N Main St,Trenton,-82.81875001,29.61922001,SHELTER,RISK,1991,27 Classroom,347,6931
Muse Community Center,3897 Loblolly Bay Rd,LaBelle,-81.51464004,26.82581998,SHELTER,RISK,2002,Main,137,2740
West Glades ES,2586 Hwy 731,LaBelle,-81.44293071,26.80701992,SHELTER,RISK,2003,5 Cafeteria,208,4165
West Glades ES,2586 Hwy 731,LaBelle,-81.44293071,26.80701992,SHELTER,RISK,2007,7 Gym,472,9440
West Glades ES,2586 Hwy 731,LaBelle,-81.44293071,26.80701992,SHELTER,RISK,2007,4 Classroom,432,8640
Ortona Community Center,2130 Ortona Locks Rd,Moore Haven,-81.31389002,26.79791998,SHELTER,RISK,2014,Main,83,1660
Maple Grove Baptist Church,12777 SR 78,Moore Haven,-81.08878999,26.99241001,SHELTER,RISK,1998,Main,265,5300
West Glades ES,2586 Hwy 731,LaBelle,-81.44293071,26.80701992,SHELTER,RISK,2007,6 Classroom,474,9480
Wewahitchika HS (7-12),1 Gator Cir,Wewahitchka,-85.21659425,30.06522958,SHELTER,RISK,2005,16 middle school wing,186,3728
Honeyville Community Center,240 Honeyville Park Dr,Wewahitchka,-85.19426,30.06217598,SHELTER,RISK,2007,Main,232,4640
Hamilton County HS,5683 US Highway 129 S,Jasper,-82.93010954,30.47547713,SHELTER,RISK,2003,5 Classroom,497,9933
Hamilton County HS,5683 US Highway 129 S,Jasper,-82.93010954,30.47547713,SHELTER,RISK,2003,4 Music,159,3178
Hamilton County HS,5683 US Highway 129 S,Jasper,-82.93010954,30.47547713,SHELTER,RISK,2003,9 Voc Classroom,273,5469
Hamilton County HS,5683 US Highway 129 S,Jasper,-82.93010954,30.47547713,SHELTER,RISK,2003,6 Gym,623,12461
Hamilton County HS,5683 US Highway 129 S,Jasper,-82.93010954,30.47547713,SHELTER,RISK,2003,3 Auditorium,146,2913
Hamilton County HS,5683 US Highway 129 S,Jasper,-82.93010954,30.47547713,SHELTER,RISK,2003,7 ROTC,157,3130
Bowling Green ES,4530 Church Ave,Bowling Green,-81.82114998,27.63576002,SHELTER,RISK,2009,1 Multipurpose / Classroom,690,13804
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,-81.82028263,27.58657739,SHELTER,RISK,2004,8 Classroom,493,9868
North Wauchula ES,1120 N Florida Ave,Wauchula,-81.81641001,27.56074001,SHELTER,RISK,2001,3 Classroom,106,2120
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,-81.82028263,27.58657739,SHELTER,RISK,2004,6 Classroom,521,10427
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,-81.82028263,27.58657739,SHELTER,RISK,2004,13 Gym,860,17197
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,-81.82028263,27.58657739,SHELTER,RISK,2004,11 Classroom,213,4262
South Florida State College,2968 US 17 N,Bowling Green,-81.82153002,27.60405002,SHELTER,RISK,2003,100B,58,1158
Bowling Green ES,4530 Church Ave,Bowling Green,-81.82114998,27.63576002,SHELTER,RISK,2002,18 Classroom,106,2117
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,-81.82028263,27.58657739,SHELTER,RISK,2004,9 Classroom,56,1120
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,-81.82028263,27.58657739,SHELTER,RISK,2004,7 Classroom,413,8252
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,-81.82028263,27.58657739,SHELTER,RISK,2004,10 Classroom,144,2879
Hardee Jr HS / Hilltop ES,2405 US Highway 17 N,Wauchula,-81.82028263,27.58657739,SHELTER,RISK,2004,5 Cafeteria,338,6768
Zolfo Springs ES,3215 Schoolhouse Rd,Zolfo Springs,-81.78556997,27.49563999,SHELTER,RISK,2001,10 Classroom,194,3870
Clewiston MS,601 W Osceola Ave,Clewiston,-80.93673986,26.75579673,SHELTER,RISK,1996,31 Gym,553,11065
Clewiston MS,601 W Osceola Ave,Clewiston,-80.93673986,26.75579673,SHELTER,RISK,1996,33 Classroom,159,3178
LaBelle MS,8000 E Cowboy Way,Labelle,-81.36898997,26.75182999,SHELTER,RISK,2000,4 Ag Lab,287,5730
Clewiston MS,601 W Osceola Ave,Clewiston,-80.93673986,26.75579673,SHELTER,RISK,1996,32 Classroom,355,7101
LaBelle MS,8000 E Cowboy Way,Labelle,-81.36898997,26.75182999,SHELTER,RISK,1996,1 Classroom,163,3253
Clewiston HS,1501 S Francisco St,Clewiston,-80.92247284,26.74469162,SHELTER,RISK,1989,1 Classroom,312,6230
LaBelle MS,8000 E Cowboy Way,Labelle,-81.36898997,26.75182999,SHELTER,RISK,2000,6 Classroom,354,7077
LaBelle MS,8000 E Cowboy Way,Labelle,-81.36898997,26.75182999,SHELTER,RISK,1996,2 Classroom,121,2425
Clewiston MS,601 W Osceola Ave,Clewiston,-80.93673986,26.75579673,SHELTER,RISK,1996,34 Classroom,156,3112
Clewiston HS,1501 S Francisco St,Clewiston,-80.92247284,26.74469162,SHELTER,RISK,1989,9 Classroom,181,3619
Clewiston MS,601 W Osceola Ave,Clewiston,-80.93673986,26.75579673,SHELTER,RISK,1996,30 Music,149,2972
LaBelle MS,8000 E Cowboy Way,Labelle,-81.36898997,26.75182999,SHELTER,RISK,1996,3 Cafeteria,476,9529
LaBelle MS,8000 E Cowboy Way,LaBelle,-81.36898997,26.75182999,SHELTER,RISK,1999,5 Gym,557,11133
Edward A Upthegrove ES,280 N Main St,Labelle,-81.44030002,26.76579001,SHELTER,RISK,2001,23 Classroom,242,4833
Frank W Springstead HS,3300 Maniner Blvd,Spring Hill,-82.54217697,28.482004,SHELTER,RISK,2007,12 Cafeteria,270,5396
John D Floyd ES,3139 Dumont Ave,Spring Hill,-82.50967002,28.47847401,SHELTER,RISK,2007,13 Classroom,257,5132
Challenger K-8,13400 Elgin Blvd,Spring Hill,-82.50182296,28.49581202,SHELTER,RISK,2004,"1 (100s, 200s, 400s, 500s) Classroom / Media",1155,23097
Central HS,14075 Ken Austin Pkwy,Brooksville,-82.49538398,28.56411899,SHELTER,RISK,2007,30 Cafeteria / Corridors,310,6204
Suncoast ES,11135 Quality Dr,Spring Hill,-82.53757203,28.437019,SHELTER,RISK,1994,5 Cafeteria,202,4035
Nature Coast Tech HS,4057 California St,Brooksville,-82.46332304,28.48835401,SHELTER,RISK,2001,2 Classroom,332,6636
Nature Coast Tech HS,4057 California St,Brooksville,-82.46332304,28.48835401,SHELTER,RISK,2001,3 Gym,585,11696
Challenger K-8,13400 Elgin Blvd,Spring Hill,-82.50182296,28.49581202,SHELTER,RISK,2004,1 (600s) Gym,508,10161
John D Floyd ES,3139 Dumont Ave,Spring Hill,-82.50967002,28.47847401,SHELTER,RISK,2007,12 Classroom,256,5126
Fred Wild ES,3550 Youth Care Ln,Sebring,-81.43058003,27.47940999,SHELTER,RISK,2001,13 Cafeteria,223,4454
Avon ES,705 Winthrop St,Avon Park,-81.51002999,27.60199,SHELTER,RISK,2002,10 Cafeteria,225,4500
Lake Placid ES,101 Green Dragon Dr,Lake Placid,-81.36949004,27.29417999,SHELTER,RISK,2006,6 Classroom,282,5633
Sebring Civic Center,355 W Center Ave,Sebring,-81.44391825,27.4948817,SHELTER,RISK,2010, ,1185,23698
Avon Park HS,700 E Main St,Avon Park,-81.48868003,27.59375,SHELTER,RISK,1998,6 Cafeteria,250,5007
Lake Placid Senior HS,202 Green Dragon Dr,Lake Placid,-81.37268002,27.29368998,SHELTER,RISK,2009,2 Multipurpose,359,7171
Cracker Trail ES,8200 Sparta Rd,Sebring,-81.44402997,27.42398,SHELTER,RISK,2002,4 Classroom,140,2807
Woodlawn ES,817 Woodlawn Dr,Sebring,-81.44395,27.50725002,SHELTER,RISK,2001,2 Cafeteria,220,4393
Sebring HS,3514 Kenilworth Blvd,Sebring,-81.43135997,27.48608999,SHELTER,RISK,1999,8 Multipurpose,220,4405
Hill-Gustat MS,4700 Schumacher Rd,Sebring,-81.51456997,27.51615001,SHELTER,RISK,2008,9 Classroom,509,10189
FishHawk Creek ES,16815 Dorman Rd,Lithia,-82.21911402,27.84179499,SHELTER,RISK,2003,2 Classroom,736,14713
Memorial MS,4702 N Central Ave,Tampa,-82.45597202,27.988311,SHELTER,RISK,1999,4 Gym,655,13091
Tampa Palms ES,6100 Tampa Palms Blvd,Tampa,-82.38536396,28.09816698,SHELTER,RISK,2004,10 Classroom,169,3386
Sickles HS,7950 Gunn Hwy,Tampa,-82.579861,28.07903198,SHELTER,RISK,1995,7 Classroom / Lab,469,9379
Burnett MS,1010 N. Kingsway Rd,Seffner,-82.27842001,28.00839802,SHELTER,RISK,1994,1 Admin / Library / Classroom,1681,33620
Chiles ES,16541 Tampa Palms Blvd,Tampa,-82.39207099,28.11365201,SHELTER,RISK,2000,2 Classroom,548,10967
Pizzo ES,11701 USF Bull Run Dr,Tampa,-82.40423699,28.05554098,SHELTER,RISK,1997,2 Classroom,475,9509
Valrico ES,609 S. Miller Rd,Valrico,-82.24375498,27.92983699,SHELTER,RISK,2007,6 Classroom,448,8951
Lake Magdalene ES,2002 Pine Lake Dr,Tampa,-82.47780001,28.05774601,SHELTER,RISK,2004,15 Classroom,386,7721
Limona ES,1115 TelFair Rd,Brandon,-82.301355,27.957377,SHELTER,RISK,1999,9 Classroom,112,2249
Collins ES,12424 Summerfield Blvd,Riverview,-82.31774497,27.81116798,SHELTER,RISK,2004,3 Classroom,946,18919
Turner Bartles K-8 (Upper),9020 Imperial Oak Blvd,Tampa,-82.35073002,28.16883301,SHELTER,RISK,2003,3 Classroom,676,13511
Heritage ES,18201 E Meadows Rd,Tampa,-82.285953,28.146332,SHELTER,RISK,2003,4 Classroom / ESE,556,11113
Benito MS,10101 Cross Creek Blvd,Tampa,-82.32376896,28.14100899,SHELTER,RISK,2006,7 Classroom,341,6816
Pizzo ES,11701 USF Bull Run Dr,Tampa,-82.40423699,28.05554098,SHELTER,RISK,1997,4 Classroom,506,10114
Mulrennan MS,4215 Durant Rd,Valrico,-82.22908002,27.90758199,SHELTER,RISK,2003,6 Classroom,376,7517
Symmes ES,6280 Watson Rd,Riverview,-82.30965199,27.88858299,SHELTER,RISK,2000,4 Classroom,651,13028
Freedom HS,17410 Commerce Park Blvd,Tampa,-82.38178777,28.13342805,SHELTER,RISK,2000,9 Cafeteria,421,8414
Valrico ES,609 S. Miller Rd,Valrico,-82.24375498,27.92983699,SHELTER,RISK,1995,4 ESE / Classroom,292,5841
Benito MS,10101 Cross Creek Blvd,Tampa,-82.32376896,28.14100899,SHELTER,RISK,1995,6 Classroom / ESE / Art / Library,860,17194
Pizzo ES,11701 USF Bull Run Dr,Tampa,-82.40423699,28.05554098,SHELTER,RISK,1997,3 Classroom,478,9550
Tomlin MS,501 N. Woodrow Wilson St,Plant City,-82.14659397,28.01821599,SHELTER,RISK,2008,13 Classroom,393,7866
Robinson ES,4801 Turkey Creek Rd,Plant City,-82.17085597,27.947756,SHELTER,RISK,1999,12 Classroom,270,5403
Sligh MS,2011 E. Sligh Ave,Tampa,-82.43671997,28.00982902,SHELTER,RISK,1999,15 Classroom / Lab,368,7356
Burnett MS,1010 N. Kingsway Rd,Seffner,-82.27842001,28.00839802,SHELTER,RISK,2006,4 Classroom,261,5217
Cimino ES,4329 Culbreath Rd,Valrico,-82.239071,27.87472799,SHELTER,RISK,2004,5 Classroom,424,8483
Brooker ES,812 DeWolf Rd,Brandon,-82.27241899,27.916355,SHELTER,RISK,2004,14 Classroom,338,6759
Durant HS,4748 Cougar Path,Plant City,-82.17177203,27.88807898,SHELTER,RISK,1993,7 Classroom,619,12379
Cimino ES,4329 Culbreath Rd,Valrico,-82.239071,27.87472799,SHELTER,RISK,2002,2 Classroom,675,13499
Benito MS,10101 Cross Creek Blvd,Tampa,-82.32376896,28.14100899,SHELTER,RISK,1995,3 Classroom / ESE,532,10643
Valrico ES,609 S. Miller Rd,Valrico,-82.24375498,27.92983699,SHELTER,RISK,1995,3 Classroom (1st Floor),643,12854
Freedom HS,17410 Commerce Park Blvd,Tampa,-82.38178777,28.13342805,SHELTER,RISK,2000,6 Auditorium,207,4138
Knights ES,4815 N. Keene Rd,Plant City,-82.155056,28.075599,SHELTER,RISK,2004,6 Classroom,375,7495
Mort ES,1806 E. Bearss Ave,Tampa,-82.43996603,28.08100101,SHELTER,RISK,2004,5 Classroom,292,5847
Greco MS,6925 E. Fowler Ave,Temple Terrace,-82.37584799,28.052941,SHELTER,RISK,2003,21 Gym,453,9055
Newsome HS,16550 Fish Hawk Blvd,Lithia,-82.20517098,27.85933098,SHELTER,RISK,2003,8 Cafeteria,370,7409
Martinez MS,5601 Lutz Lake Fern Rd,Lutz,-82.532706,28.16115799,SHELTER,RISK,2000,4 Classroom,732,14639
Mulrennan MS,4215 Durant Rd,Valrico,-82.22908002,27.90758199,SHELTER,RISK,2003,4 Classroom,520,10400
Essrig ES,13131 Lynn Rd,Tampa,-82.54112998,28.068343,SHELTER,RISK,2003,10 Classroom,118,2361
Walden Lake ES,2800 Turkey Creek Rd,Plant City,-82.16924103,27.976893,SHELTER,RISK,2006,13 Classroom,324,6475
Summerfield Crossings ES,11050 Fairway Meadows Drive,Riverview,-82.32297,27.79988598,SHELTER,RISK,2005,4 Classroom,346,6929
Canopy Oaks ES,3250 Point View Dr,Tallahassee,-84.34680198,30.51014101,SHELTER,RISK,1997,6 Classroom,218,4359
SAIL HS,2006 Jackson Bluff Rd,Tallahassee,-84.31739197,30.435192,SHELTER,RISK,1989,14 Classroom,59,1173
Springwood ES,3801 Fred George Rd,Tallahassee,-84.33961801,30.493098,SHELTER,RISK,1986,6 Classroom,252,5044
William J Montford MS,5789 Pimlico Dr,Tallahassee,-84.17958401,30.53034098,SHELTER,RISK,2007,2 Cafeteria,363,7257
Fort Braden School,15100 Blountstown Hwy,Tallahassee,-84.51420401,30.43848802,SHELTER,RISK,1993,4 Classroom,113,2268
Frank Hartsfield ES,1414 Chowkeebin Nene,Tallahassee,-84.25674798,30.432129,SHELTER,RISK,1989,12 Classroom,116,2310
Chaires ES,4774 Chaires Cross Rd,Tallahassee,-84.12248104,30.436227,SHELTER,RISK,1986,6 Classroom,252,5044
Chaires ES,4774 Chaires Cross Rd,Tallahassee,-84.12248104,30.436227,SHELTER,RISK,1986,2 Classroom,196,3910
Buck Lake ES,1600 Pedrick Rd,Tallahassee,-84.18137699,30.46089498,SHELTER,RISK,1989,7 Multipurpose,142,2849
Miami Carol City HS,3301 Miami Gardens Dr,Miami Gardens,-80.25530283,25.94069867,SHELTER,RISK,1962,5 Voc Classroom,102,2038
Palm Springs North ES,17615 NW 82nd Ave,Hialeah,-80.33394203,25.934614,SHELTER,RISK,2007,4 Classroom,204,4076
Bob Graham Education Center,15901 NW 79th Ave,Miami Lakes,-80.32829296,25.91739401,SHELTER,RISK,2002,6 Cafeteria,181,3626
Dante Fascell ES,15625 SW 80th St,Miami,-80.44528304,25.693399,SHELTER,RISK,1995,1 Admin / Cafeteria / Art / Classroom,246,4926
Ben Sheppard ES,5700 W 24th Ave,Hialeah,-80.332254,25.87441199,SHELTER,RISK,1984,8 Classroom,100,2004
Hammocks MS,9889 Hammocks Blvd,Miami,-80.44200001,25.67421601,SHELTER,RISK,1982,1 Admin / Classroom,2088,41754
