Name,Address,City,Long,Lat,FACILITY_T,SHELTER_TY,Year_Built,Building,Risk_Capac,Risk_Squar
Bozeman Learning Center,13410 SR 77,Panama City,-85.68895471,30.39417873,SHELTER,RISK,2000,6 Music,240,4791
Pattersen ES,1025 Redwood Ave,Panama City,-85.63851796,30.16655301,SHELTER,RISK,2000,16 Classroom,265,5294
Merritt Brown MS,5601 Merritt Brown Rd,Panama City,-85.56317597,30.24219998,SHELTER,RISK,1988,4 Classroom 1st Floor,877,17538
Jinks MS,600 W 11th St,Panama City,-85.66797901,30.16873,SHELTER,RISK,2003,10 Cafeteria,92,1836
Tommy Smith ES,5044 Tommy Smith Way,Panama City,-85.56411399,30.241872,SHELTER,RISK,1991,4 Classroom,438,8764
Bozeman Learning Center,13410 SR 77,Panama City,-85.68895471,30.39417873,SHELTER,RISK,2000,3 Classroom,395,7894
Moore ES,1900 Michigan Ave,Panama City,-85.70702904,30.18332398,SHELTER,RISK,1996,3 Cafeteria (11),483,9661
Bozeman Learning Center,13410 SR 77,Panama City,-85.68895471,30.39417873,SHELTER,RISK,2000,4 Classroom,470,9401
Cedar Grove ES,2826 East 15th St,Panama City,-85.62116198,30.17427002,SHELTER,RISK,1999,12 Classroom,243,4865
Parker ES,640 S Hwy 22A,Panama City,-85.600514,30.13559902,SHELTER,RISK,2007,2 Multipurpose,180,3600
Oakland Terrace ES,2010 W 12th St,Panama City,-85.69123301,30.17070302,SHELTER,RISK,2000,13 Classroom,168,3365
Tommy Smith ES,5044 Tommy Smith Way,Panama City,-85.56411399,30.241872,SHELTER,RISK,1991,1 Classroom,235,4708
Bozeman Learning Center,13410 SR 77,Panama City,-85.68895471,30.39417873,SHELTER,RISK,2000,1 Admin / Clinic,267,5340
Moore ES,1900 Michigan Ave,Panama City,-85.70702904,30.18332398,SHELTER,RISK,1996,5 Media (13),46,925
Bozeman Learning Center,13410 SR 77,Panama City,-85.68895471,30.39417873,SHELTER,RISK,2000,5 Classroom,576,11518
Tommy Smith ES,5044 Tommy Smith Way,Panama City,-85.56411399,30.241872,SHELTER,RISK,1991,3 Classroom,426,8515
Merriam-Cherry St. ES,1125 Cherry St,Panama City,-85.64585699,30.14689699,SHELTER,RISK,1996,11 Multipurpose / Cafeteria,253,5054
Bay HS,1204 Harrison Ave,Panama City,-85.65870603,30.170614,SHELTER,RISK,2001,7 Cafeteria,680,13609
New Horizons Learning Center,3100 Minnesota Ave,Panama City,-85.64554131,30.202286,SHELTER,RISK,0,2,222,4443
Waller ES,11332 Hwy 338,Youngstown,-85.57356,30.312275,SHELTER,RISK,1996,3 Cafeteria,82,1638
Jinks MS,600 W 11th St,Panama City,-85.66797901,30.16873,SHELTER,RISK,2003,6 Band / Classroom,138,2769
Rosenwald HS,1310 E 11th St,Panama City,-85.64126698,30.16684701,SHELTER,RISK,2002,13 Classroom,175,3493
Starke ES,1000 Weldon St,Starke,-82.12257998,29.9512,SHELTER,RISK,1996,5 Classroom / Music,230,4609
Bradford MS,58 North Orange St,Starke,-82.11490652,29.94560105,SHELTER,RISK,1999,6 Music,52,1040
Hampton ES,10501 Hampton Ave,Hampton,-82.12928997,29.86913462,SHELTER,RISK,2000,5 Classroom,95,1900
Starke ES,1000 Weldon St,Starke,-82.12257998,29.9512,SHELTER,RISK,1996,6 Classroom,235,4700
Starke ES,1000 Weldon St,Starke,-82.12257998,29.9512,SHELTER,RISK,1996,2 Classroom,281,5622
Bradford MS,58 North Orange St,Srtarke,-82.11490652,29.94560105,SHELTER,RISK,1999,7 Classroom,248,4956
Central MS,2600 Wingate Blvd,W Melbourne,-80.66112327,28.06092648,SHELTER,RISK,1996,3 Music / Classroom,395,7896
Meadowlane Primary ES,2800 Wingate Blvd,Melbourne,-80.66685852,28.06106061,SHELTER,RISK,1994,4 Classroom,269,5388
Heritage HS,2353 W Malabar Rd,Palm Bay,-80.75432896,27.99409662,SHELTER,RISK,2009,5 Classroom,730,14595
Long Leaf ES,4290 N Wickham Rd,Melbourne,-80.67417102,28.17865702,SHELTER,RISK,1997,1 Main,1943,38864
Viera HS,6103 Stadium Pkwy,Viera,-80.73595001,28.252285,SHELTER,RISK,2005,4 Classroom,779,15575
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,1997,2 Media / Classroom,122,2432
Enterprise ES,7000 Enterprise Rd,Port St. John,-80.82356743,28.47554708,SHELTER,RISK,1994,5 Classroom,376,7523
Discovery ES,1275 Glendale Ave NW,Palm Bay,-80.71874598,28.02940902,SHELTER,RISK,2003,10 Classroom,194,3888
